"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 27 12:21:05 GMT 2023","Thu Jul 27 12:21:12 GMT 2023","6267","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductPrice","tests.Ordering.Cart.VerifyAddedToCartProductPrice","verifyAddedToCartProductPrice","Verify added to cart product price","Verify added to cart product price"
"passed","Thu Jul 27 12:19:56 GMT 2023","Thu Jul 27 12:20:09 GMT 2023","12819","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyGoToCartButtonRedirectsToCartPage","tests.Ordering.Order_Confirmation.VerifyGoToCartButtonRedirectsToCartPage","verifyGoToCartButtonRedirectsToCartPage","Verify Go to Cart button redirects to cart page","Verify Go to Cart button redirects to cart page"
"failed","Thu Jul 27 12:25:09 GMT 2023","Thu Jul 27 12:25:15 GMT 2023","6255","IDP Project Tests","Smoke Tests","tests.Search.VerifyUpdatingSearchDropdownByFilter","tests.Search.VerifyUpdatingSearchDropdownByFilter","VerifyUpdatingSearchDropdownByFilter","Verify updating search dropdown by filter","Verify updating search dropdown by filter"
"passed","Thu Jul 27 12:21:47 GMT 2023","Thu Jul 27 12:21:59 GMT 2023","12039","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductImageIsDisplayed","tests.Ordering.Order_Confirmation.VerifyProductImageIsDisplayed","verifyProductImageIsDisplayed","Verify product image is displayed","Verify product image is displayed"
"failed","Thu Jul 27 12:16:48 GMT 2023","Thu Jul 27 12:16:54 GMT 2023","6270","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifyAddToCartButtonRedirectsToOrderConfirmationPage","tests.Ordering.Order_Details.VerifyAddToCartButtonRedirectsToOrderConfirmationPage","verifyAddToCartButtonRedirectsToOrderConfirmationPage","Verify Add to Cart button redirects to Product Confirmation Page","Verify Add to Cart button redirects to Product Confirmation Page"
"failed","Thu Jul 27 12:16:06 GMT 2023","Thu Jul 27 12:16:13 GMT 2023","6278","IDP Project Tests","Smoke Tests","tests.Ordering.Home_Page.VerifyProductAppearsInPickupWhereYouLeftSection","tests.Ordering.Home_Page.VerifyProductAppearsInPickupWhereYouLeftSection","verifyProductAppearsInPickupWhereYouLeftSection","Verify product appears in pick up where you left section","Verify product appears in pick up where you left section"
"failed","Thu Jul 27 12:24:27 GMT 2023","Thu Jul 27 12:24:34 GMT 2023","6256","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDisplayedAfterAddingItemToCart","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDisplayedAfterAddingItemToCart","verifyCartFlyoutDisplayedAfterAddingItemToCart","Verify cart flyout is displayed after adding item to cart","Verify cart flyout is displayed after adding item to cart"
"failed","Thu Jul 27 12:19:14 GMT 2023","Thu Jul 27 12:19:20 GMT 2023","6250","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductsSubtotal","tests.Ordering.Cart.VerifyAddedToCartProductsSubtotal","verifyAddedToCartProductsSubtotal","Verify added to cart products subtotal","Verify added to cart products subtotal"
"failed","Thu Jul 27 12:15:45 GMT 2023","Thu Jul 27 12:15:52 GMT 2023","6290","IDP Project Tests","Smoke Tests","tests.Ordering.Checkout.VerifyAddingNewShippingAddressOnCheckout","tests.Ordering.Checkout.VerifyAddingNewShippingAddressOnCheckout","VerifyAddingNewShippingAddressOnCheckout","Verify adding a new shipping address on checkout","Verify adding a new shipping address on checkout"
"failed","Thu Jul 27 12:22:35 GMT 2023","Thu Jul 27 12:22:41 GMT 2023","6255","IDP Project Tests","Smoke Tests","tests.Search.VerifyAutocompleteSuggestionsIncludeSearchValue","tests.Search.VerifyAutocompleteSuggestionsIncludeSearchValue","VerifyAutocompleteSuggestionsIncludeSearchValue","Verify autocomplete suggestions include search value","Verify autocomplete suggestions include search value"
"failed","Thu Jul 27 12:15:03 GMT 2023","Thu Jul 27 12:15:10 GMT 2023","6289","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductTitle","tests.Ordering.Cart.VerifyAddedToCartProductTitle","verifyAddedToCartProductTitle","Verify added to cart product title","Verify added to cart product title"
"passed","Thu Jul 27 12:23:52 GMT 2023","Thu Jul 27 12:23:52 GMT 2023","279","IDP Project Tests","Smoke Tests","tests.Search.VerifyAutocompleteFlyoutAppears","tests.Search.VerifyAutocompleteFlyoutAppears","verifyAutocompleteFlyoutAppears","Verify autocomplete flyout appears","Verify autocomplete flyout appears"
"failed","Thu Jul 27 12:23:38 GMT 2023","Thu Jul 27 12:23:44 GMT 2023","6250","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductSuccessMessageIsDisplayed","tests.Ordering.Order_Confirmation.VerifyProductSuccessMessageIsDisplayed","verifyProductSuccessMessageIsDisplayed","Verify product success message is displayed","Verify product success message is displayed"
"failed","Thu Jul 27 12:24:07 GMT 2023","Thu Jul 27 12:24:13 GMT 2023","6258","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyProceedToCheckoutButtonRedirectsToCheckoutPage","tests.Ordering.Cart.VerifyProceedToCheckoutButtonRedirectsToCheckoutPage","verifyProceedToCheckoutButtonRedirectsToCheckoutPage","Verify Proceed to Checkout button redirects to Checkout page","Verify Proceed to Checkout button redirects to Checkout page"
"failed","Thu Jul 27 12:21:26 GMT 2023","Thu Jul 27 12:21:32 GMT 2023","6265","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDeleteButtonRemovesProduct","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDeleteButtonRemovesProduct","verifyCartFlyoutDeleteButtonRemovesProduct","Verify cart flyout delete button removes product","Verify cart flyout delete button removes product"
"failed","Thu Jul 27 12:15:24 GMT 2023","Thu Jul 27 12:15:31 GMT 2023","6289","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductLinkRedirectsToProductDetailsPage","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductLinkRedirectsToProductDetailsPage","verifyCartFlyoutProductLinkRedirectsToProductDetailsPage","Verify cart flyout product link redirects to Product Details Page","Verify cart flyout product link redirects to Product Details Page"
"failed","Thu Jul 27 12:18:12 GMT 2023","Thu Jul 27 12:18:18 GMT 2023","6268","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductSubtotalPrice","tests.Ordering.Order_Confirmation.VerifyProductSubtotalPrice","verifyProductSubtotalPrice","Verify product subtotal price","Verify product subtotal price"
"failed","Thu Jul 27 12:14:42 GMT 2023","Thu Jul 27 12:14:49 GMT 2023","6337","IDP Project Tests","Smoke Tests","tests.Navigation.VerifyTopRatedProductsOnItemsListPageContainCategoryTitle","tests.Navigation.VerifyTopRatedProductsOnItemsListPageContainCategoryTitle","VerifyTopRatedProductsOnItemsListPageContainCategoryTitle","Verify top rated products on items list page contain category title","Verify top rated products on items list page contain category title"
"failed","Thu Jul 27 12:18:53 GMT 2023","Thu Jul 27 12:19:00 GMT 2023","6265","IDP Project Tests","Smoke Tests","tests.Search.VerifySelectionOfAutocompleteSuggestion","tests.Search.VerifySelectionOfAutocompleteSuggestion","verifySelectionOfAutocompleteSuggestion","Verify selection of autocomplete suggestion","Verify selection of autocomplete suggestion"
"failed","Thu Jul 27 12:17:09 GMT 2023","Thu Jul 27 12:17:15 GMT 2023","6279","IDP Project Tests","Smoke Tests","tests.Search.VerifySearchResultItemsContainSearchValue","tests.Search.VerifySearchResultItemsContainSearchValue","verifySearchResultItemsContainSearchValue","Verify search result contain search value","Verify search result contain search value"
"failed","Thu Jul 27 12:18:32 GMT 2023","Thu Jul 27 12:18:39 GMT 2023","6264","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductFreeDeliveryDate","tests.Ordering.Order_Details.VerifySelectedProductFreeDeliveryDate","verifySelectedProductFreeDeliveryDate","Verify selected product free delivery date","Verify selected product free delivery date"
"failed","Thu Jul 27 12:19:35 GMT 2023","Thu Jul 27 12:19:41 GMT 2023","6281","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutGoToCartButtonRedirectsToCartPage","tests.Ordering.Cart_Flyout.VerifyCartFlyoutGoToCartButtonRedirectsToCartPage","verifyCartFlyoutGoToCartButtonRedirectsToCartPage","Verify cart flyout Go to Cart button redirects to Cart Page","Verify cart flyout Go to Cart button redirects to Cart Page"
"failed","Thu Jul 27 12:17:30 GMT 2023","Thu Jul 27 12:17:36 GMT 2023","6259","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyCartButtonCounterWhenProductAddedToCart","tests.Ordering.Cart.VerifyCartButtonCounterWhenProductAddedToCart","verifyCartButtonCounterWhenProductAddedToCart","Verify cart button counter when product added to cart","Verify cart button counter when product added to cart"
"failed","Thu Jul 27 12:20:45 GMT 2023","Thu Jul 27 12:20:51 GMT 2023","6270","IDP Project Tests","Smoke Tests","tests.Search.VerifySearchForItem","tests.Search.VerifySearchForItem","verifySearchForItem","Search for item","Search for item"
"failed","Thu Jul 27 12:23:16 GMT 2023","Thu Jul 27 12:23:22 GMT 2023","6263","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductPrice","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductPrice","verifyCartFlyoutProductPrice","Verify cart flyout product price","Verify cart flyout product price"
"failed","Thu Jul 27 12:20:24 GMT 2023","Thu Jul 27 12:20:30 GMT 2023","6267","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductPrice","tests.Ordering.Order_Details.VerifySelectedProductPrice","verifySelectedProductPrice","Verify selected product price","Verify selected product price"
"failed","Thu Jul 27 12:22:14 GMT 2023","Thu Jul 27 12:22:20 GMT 2023","6255","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductTitle","tests.Ordering.Order_Details.VerifySelectedProductTitle","verifySelectedProductTitle","Verify selected product title","Verify selected product title"
"failed","Thu Jul 27 12:24:48 GMT 2023","Thu Jul 27 12:24:55 GMT 2023","6253","IDP Project Tests","Smoke Tests","tests.Search.VerifyPreviousSearchIsDisplayedAsSuggestion","tests.Search.VerifyPreviousSearchIsDisplayedAsSuggestion","verifyPreviousSearchIsDisplayedAsSuggestion","Verify previous search is displayed as suggestion","Verify previous search is displayed as suggestion"
"failed","Thu Jul 27 12:22:55 GMT 2023","Thu Jul 27 12:23:02 GMT 2023","6261","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyCartButtonRedirectsToCartPage","tests.Ordering.Cart.VerifyCartButtonRedirectsToCartPage","verifyCartButtonRedirectsToCartPage","Verify Cart button redirects to Cart page","Verify Cart button redirects to Cart page"
"failed","Thu Jul 27 12:17:51 GMT 2023","Thu Jul 27 12:17:57 GMT 2023","6252","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutSubtotalPrice","tests.Ordering.Cart_Flyout.VerifyCartFlyoutSubtotalPrice","verifyCartFlyoutSubtotalPrice","Verify cart flyout subtotal price","Verify cart flyout subtotal price"
"failed","Thu Jul 27 12:16:27 GMT 2023","Thu Jul 27 12:16:33 GMT 2023","6268","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProceedToCheckoutButtonRedirectsToProductCheckoutPage","tests.Ordering.Order_Confirmation.VerifyProceedToCheckoutButtonRedirectsToProductCheckoutPage","verifyProceedToCheckoutButtonRedirectsToProductCheckoutPage","Verify Proceed to Checkout button redirects to Product Checkout page","Verify Proceed to Checkout button redirects to Product Checkout page"
