"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jun 02 15:27:14 GMT 2023","Fri Jun 02 15:27:24 GMT 2023","10646","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDeleteButtonRemovesProduct","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDeleteButtonRemovesProduct","verifyCartFlyoutProductPrice","verifyCartFlyoutProductPrice","Verify cart flyout product price"
"passed","Fri Jun 02 15:35:28 GMT 2023","Fri Jun 02 15:35:41 GMT 2023","12923","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductPrice","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductPrice","verifyCartFlyoutProductPrice","verifyCartFlyoutProductPrice","Verify cart flyout product price"
"passed","Fri Jun 02 15:29:31 GMT 2023","Fri Jun 02 15:29:47 GMT 2023","16350","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductLinkRedirectsToProductDetailsPage","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductLinkRedirectsToProductDetailsPage","verifyCartFlyoutProductLinkRedirectsToProductDetailsPage","verifyCartFlyoutProductLinkRedirectsToProductDetailsPage","Verify cart flyout product link redirects to Product Details Page"
"passed","Fri Jun 02 15:28:59 GMT 2023","Fri Jun 02 15:29:11 GMT 2023","12818","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifyAddToCartButtonRedirectsToOrderConfirmationPage","tests.Ordering.Order_Details.VerifyAddToCartButtonRedirectsToOrderConfirmationPage","verifyAddToCartButtonRedirectsToOrderConfirmationPage","verifyAddToCartButtonRedirectsToOrderConfirmationPage","Verify Add to Cart button redirects to Product Confirmation Page"
"passed","Fri Jun 02 15:37:06 GMT 2023","Fri Jun 02 15:37:07 GMT 2023","955","IDP Project Tests","Smoke Tests","tests.Search.VerifyAutocompleteSuggestionsIncludeSearchValue","tests.Search.VerifyAutocompleteSuggestionsIncludeSearchValue","VerifyAutocompleteSuggestionsIncludeSearchValue","VerifyAutocompleteSuggestionsIncludeSearchValue","Verify autocomplete suggestions include search value"
"failed","Fri Jun 02 15:31:04 GMT 2023","Fri Jun 02 15:31:23 GMT 2023","19034","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductsSubtotal","tests.Ordering.Cart.VerifyAddedToCartProductsSubtotal","verifySelectedProductTitle","verifySelectedProductTitle","Verify added to cart products subtitle"
"passed","Fri Jun 02 15:31:25 GMT 2023","Fri Jun 02 15:31:38 GMT 2023","12748","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutGoToCartButtonRedirectsToCartPage","tests.Ordering.Cart_Flyout.VerifyCartFlyoutGoToCartButtonRedirectsToCartPage","verifyCartFlyoutGoToCartButtonRedirectsToCartPage","verifyCartFlyoutGoToCartButtonRedirectsToCartPage","Verify cart flyout Go to Cart button redirects to Cart Page"
"passed","Fri Jun 02 15:35:59 GMT 2023","Fri Jun 02 15:36:12 GMT 2023","13098","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductTitle","tests.Ordering.Cart.VerifyAddedToCartProductTitle","verifySelectedProductTitle","verifySelectedProductTitle","Verify added to cart product title"
"passed","Fri Jun 02 15:28:20 GMT 2023","Fri Jun 02 15:28:33 GMT 2023","13203","IDP Project Tests","Smoke Tests","tests.Ordering.Home_Page.VerifyProductAppearsInPickupWhereYouLeftSection","tests.Ordering.Home_Page.VerifyProductAppearsInPickupWhereYouLeftSection","verifyProductAppearsInPickupWhereYouLeftSection","verifyProductAppearsInPickupWhereYouLeftSection","Verify product appears in pick up where you left section"
"passed","Fri Jun 02 15:35:42 GMT 2023","Fri Jun 02 15:35:55 GMT 2023","12806","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductSuccessMessageIsDisplayed","tests.Ordering.Order_Confirmation.VerifyProductSuccessMessageIsDisplayed","verifyProductSubtotalPrice","verifyProductSubtotalPrice","Verify product subtotal price"
