"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 07 13:35:32 GMT 2023","Wed Jun 07 13:35:41 GMT 2023","8829","IDP Project Tests","Smoke Tests","tests.Search.VerifyAutocompleteSuggestionsIncludeSearchValue","tests.Search.VerifyAutocompleteSuggestionsIncludeSearchValue","VerifyAutocompleteSuggestionsIncludeSearchValue","Verify autocomplete suggestions include search value","Verify autocomplete suggestions include search value"
"passed","Wed Jun 07 13:34:38 GMT 2023","Wed Jun 07 13:34:53 GMT 2023","15328","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductSubtotalPrice","tests.Ordering.Order_Confirmation.VerifyProductSubtotalPrice","verifyProductSubtotalPrice","Verify product subtotal price","Verify product subtotal price"
"passed","Wed Jun 07 13:38:17 GMT 2023","Wed Jun 07 13:38:21 GMT 2023","4058","IDP Project Tests","Smoke Tests","tests.Search.VerifySearchResultItemsContainSearchValue","tests.Search.VerifySearchResultItemsContainSearchValue","verifySearchResultItemsContainSearchValue","Verify search result contain search value","Verify search result contain search value"
"passed","Wed Jun 07 13:37:59 GMT 2023","Wed Jun 07 13:38:15 GMT 2023","15833","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductPrice","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductPrice","verifyCartFlyoutProductPrice","Verify cart flyout product price","Verify cart flyout product price"
"passed","Wed Jun 07 13:32:17 GMT 2023","Wed Jun 07 13:32:34 GMT 2023","16632","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutGoToCartButtonRedirectsToCartPage","tests.Ordering.Cart_Flyout.VerifyCartFlyoutGoToCartButtonRedirectsToCartPage","verifyCartFlyoutGoToCartButtonRedirectsToCartPage","Verify cart flyout Go to Cart button redirects to Cart Page","Verify cart flyout Go to Cart button redirects to Cart Page"
"passed","Wed Jun 07 13:28:26 GMT 2023","Wed Jun 07 13:28:30 GMT 2023","3894","IDP Project Tests","Smoke Tests","tests.Search.VerifySelectionOfAutocompleteSuggestion","tests.Search.VerifySelectionOfAutocompleteSuggestion","verifySelectionOfAutocompleteSuggestion","Verify selection of autocomplete suggestion","Verify selection of autocomplete suggestion"
"passed","Wed Jun 07 13:34:56 GMT 2023","Wed Jun 07 13:35:06 GMT 2023","10015","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductPrice","tests.Ordering.Order_Details.VerifySelectedProductPrice","verifySelectedProductPrice","Verify selected product price","Verify selected product price"
"passed","Wed Jun 07 13:33:52 GMT 2023","Wed Jun 07 13:34:10 GMT 2023","18638","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductLinkRedirectsToProductDetailsPage","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductLinkRedirectsToProductDetailsPage","verifyCartFlyoutProductLinkRedirectsToProductDetailsPage","Verify cart flyout product link redirects to Product Details Page","Verify cart flyout product link redirects to Product Details Page"
"passed","Wed Jun 07 13:33:23 GMT 2023","Wed Jun 07 13:33:29 GMT 2023","6394","IDP Project Tests","Smoke Tests","tests.Search.VerifyUpdatingSearchDropdownByFilter","tests.Search.VerifyUpdatingSearchDropdownByFilter","VerifyUpdatingSearchDropdownByFilter","Verify updating search dropdown by filter","Verify updating search dropdown by filter"
"passed","Wed Jun 07 13:26:05 GMT 2023","Wed Jun 07 13:26:23 GMT 2023","17225","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductPrice","tests.Ordering.Cart.VerifyAddedToCartProductPrice","verifyAddedToCartProductPrice","Verify added to cart product price","Verify added to cart product price"
"passed","Wed Jun 07 13:33:32 GMT 2023","Wed Jun 07 13:33:49 GMT 2023","17085","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyCartButtonCounterWhenProductAddedToCart","tests.Ordering.Cart.VerifyCartButtonCounterWhenProductAddedToCart","verifyCartButtonCounterWhenProductAddedToCart","Verify cart button counter when product added to cart","Verify cart button counter when product added to cart"
"passed","Wed Jun 07 13:33:10 GMT 2023","Wed Jun 07 13:33:20 GMT 2023","10306","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductFreeDeliveryDate","tests.Ordering.Order_Details.VerifySelectedProductFreeDeliveryDate","verifySelectedProductFreeDeliveryDate","Verify selected product free delivery date","Verify selected product free delivery date"
"passed","Wed Jun 07 13:38:24 GMT 2023","Wed Jun 07 13:38:27 GMT 2023","3531","IDP Project Tests","Smoke Tests","tests.Search.VerifySearchForItem","tests.Search.VerifySearchForItem","verifySearchForItem","Search for item","Search for item"
"passed","Wed Jun 07 13:31:18 GMT 2023","Wed Jun 07 13:31:28 GMT 2023","10321","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductTitle","tests.Ordering.Order_Details.VerifySelectedProductTitle","verifySelectedProductTitle","Verify selected product title","Verify selected product title"
"passed","Wed Jun 07 13:36:46 GMT 2023","Wed Jun 07 13:36:58 GMT 2023","12232","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDeleteButtonRemovesProduct","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDeleteButtonRemovesProduct","verifyCartFlyoutDeleteButtonRemovesProduct","Verify cart flyout delete button removes product","Verify cart flyout delete button removes product"
"passed","Wed Jun 07 13:37:35 GMT 2023","Wed Jun 07 13:37:37 GMT 2023","1829","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyCartButtonRedirectsToCartPage","tests.Ordering.Cart.VerifyCartButtonRedirectsToCartPage","verifyCartButtonRedirectsToCartPage","Verify Cart button redirects to Cart page","Verify Cart button redirects to Cart page"
"passed","Wed Jun 07 13:31:31 GMT 2023","Wed Jun 07 13:31:32 GMT 2023","560","IDP Project Tests","Smoke Tests","tests.Search.VerifyAutocompleteFlyoutAppears","tests.Search.VerifyAutocompleteFlyoutAppears","verifyAutocompleteFlyoutAppears","Verify autocomplete flyout appears","Verify autocomplete flyout appears"
"passed","Wed Jun 07 13:37:01 GMT 2023","Wed Jun 07 13:37:17 GMT 2023","15859","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductSuccessMessageIsDisplayed","tests.Ordering.Order_Confirmation.VerifyProductSuccessMessageIsDisplayed","verifyProductSuccessMessageIsDisplayed","Verify product success message is displayed","Verify product success message is displayed"
"passed","Wed Jun 07 13:27:50 GMT 2023","Wed Jun 07 13:28:07 GMT 2023","16313","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyGoToCartButtonRedirectsToCartPage","tests.Ordering.Order_Confirmation.VerifyGoToCartButtonRedirectsToCartPage","verifyGoToCartButtonRedirectsToCartPage","Verify Go to Cart button redirects to cart page","Verify Go to Cart button redirects to cart page"
"passed","Wed Jun 07 13:28:10 GMT 2023","Wed Jun 07 13:28:23 GMT 2023","13525","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifyAddToCartButtonRedirectsToOrderConfirmationPage","tests.Ordering.Order_Details.VerifyAddToCartButtonRedirectsToOrderConfirmationPage","verifyAddToCartButtonRedirectsToOrderConfirmationPage","Verify Add to Cart button redirects to Product Confirmation Page","Verify Add to Cart button redirects to Product Confirmation Page"
"passed","Wed Jun 07 13:32:52 GMT 2023","Wed Jun 07 13:33:07 GMT 2023","14486","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductImageIsDisplayed","tests.Ordering.Order_Confirmation.VerifyProductImageIsDisplayed","verifyProductImageIsDisplayed","Verify product image is displayed","Verify product image is displayed"
