"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 07 15:36:22 GMT 2023","Wed Jun 07 15:36:22 GMT 2023","0","IDP Project Tests","Smoke Tests","tests.Search.VerifySelectionOfAutocompleteSuggestion","tests.Search.VerifySelectionOfAutocompleteSuggestion","init","init",""
"failed","Wed Jun 07 15:43:43 GMT 2023","Wed Jun 07 15:43:49 GMT 2023","6372","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductTitle","tests.Ordering.Cart.VerifyAddedToCartProductTitle","verifyAddedToCartProductTitle","Verify added to cart product title","Verify added to cart product title"
"failed","Wed Jun 07 15:42:16 GMT 2023","Wed Jun 07 15:42:22 GMT 2023","6325","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyProceedToCheckoutButtonRedirectsToCheckoutPage","tests.Ordering.Cart.VerifyProceedToCheckoutButtonRedirectsToCheckoutPage","verifyProceedToCheckoutButtonRedirectsToCheckoutPage","Verify Proceed to Checkout button redirects to Checkout page","Verify Proceed to Checkout button redirects to Checkout page"
"broken","Wed Jun 07 15:36:22 GMT 2023","Wed Jun 07 15:36:22 GMT 2023","0","IDP Project Tests","Smoke Tests","tests.Search.VerifySelectionOfAutocompleteSuggestion","tests.Search.VerifySelectionOfAutocompleteSuggestion","verifySelectionOfAutocompleteSuggestion","Verify selection of autocomplete suggestion","Verify selection of autocomplete suggestion"
"failed","Wed Jun 07 15:34:34 GMT 2023","Wed Jun 07 15:34:41 GMT 2023","6409","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDeleteButtonRemovesProduct","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDeleteButtonRemovesProduct","verifyCartFlyoutDeleteButtonRemovesProduct","Verify cart flyout delete button removes product","Verify cart flyout delete button removes product"
"passed","Wed Jun 07 15:38:48 GMT 2023","Wed Jun 07 15:39:06 GMT 2023","18354","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutGoToCartButtonRedirectsToCartPage","tests.Ordering.Cart_Flyout.VerifyCartFlyoutGoToCartButtonRedirectsToCartPage","verifyCartFlyoutGoToCartButtonRedirectsToCartPage","Verify cart flyout Go to Cart button redirects to Cart Page","Verify cart flyout Go to Cart button redirects to Cart Page"
"failed","Wed Jun 07 15:40:49 GMT 2023","Wed Jun 07 15:40:55 GMT 2023","6340","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDisplayedAfterAddingItemToCart","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDisplayedAfterAddingItemToCart","verifyCartFlyoutDisplayedAfterAddingItemToCart","Verify cart flyout is displayed after adding item to cart","Verify cart flyout is displayed after adding item to cart"
"failed","Wed Jun 07 15:39:44 GMT 2023","Wed Jun 07 15:39:50 GMT 2023","6395","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductPrice","tests.Ordering.Order_Details.VerifySelectedProductPrice","verifySelectedProductPrice","Verify selected product price","Verify selected product price"
"failed","Wed Jun 07 15:41:32 GMT 2023","Wed Jun 07 15:41:38 GMT 2023","6346","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductFreeDeliveryDate","tests.Ordering.Order_Details.VerifySelectedProductFreeDeliveryDate","verifySelectedProductFreeDeliveryDate","Verify selected product free delivery date","Verify selected product free delivery date"
"broken","Wed Jun 07 15:34:19 GMT 2023","Wed Jun 07 15:34:19 GMT 2023","1","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyCartButtonCounterWhenProductAddedToCart","tests.Ordering.Cart.VerifyCartButtonCounterWhenProductAddedToCart","init","init",""
"failed","Wed Jun 07 15:41:54 GMT 2023","Wed Jun 07 15:42:01 GMT 2023","6382","IDP Project Tests","Smoke Tests","tests.Search.VerifyPreviousSearchIsDisplayedAsSuggestion","tests.Search.VerifyPreviousSearchIsDisplayedAsSuggestion","verifyPreviousSearchIsDisplayedAsSuggestion","Verify previous search is displayed as suggestion","Verify previous search is displayed as suggestion"
"broken","Wed Jun 07 15:34:19 GMT 2023","Wed Jun 07 15:34:19 GMT 2023","2","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyCartButtonCounterWhenProductAddedToCart","tests.Ordering.Cart.VerifyCartButtonCounterWhenProductAddedToCart","verifyCartButtonCounterWhenProductAddedToCart","Verify cart button counter when product added to cart","Verify cart button counter when product added to cart"
"failed","Wed Jun 07 15:38:26 GMT 2023","Wed Jun 07 15:38:32 GMT 2023","6398","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductsSubtotal","tests.Ordering.Cart.VerifyAddedToCartProductsSubtotal","verifyAddedToCartProductsSubtotal","Verify added to cart products subtotal","Verify added to cart products subtotal"
"failed","Wed Jun 07 15:44:48 GMT 2023","Wed Jun 07 15:44:54 GMT 2023","6410","IDP Project Tests","Smoke Tests","tests.Search.VerifyAutocompleteSuggestionsIncludeSearchValue","tests.Search.VerifyAutocompleteSuggestionsIncludeSearchValue","VerifyAutocompleteSuggestionsIncludeSearchValue","Verify autocomplete suggestions include search value","Verify autocomplete suggestions include search value"
"failed","Wed Jun 07 15:37:43 GMT 2023","Wed Jun 07 15:37:49 GMT 2023","6382","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductTitle","tests.Ordering.Order_Details.VerifySelectedProductTitle","verifySelectedProductTitle","Verify selected product title","Verify selected product title"
"failed","Wed Jun 07 15:43:21 GMT 2023","Wed Jun 07 15:43:28 GMT 2023","6369","IDP Project Tests","Smoke Tests","tests.Search.VerifyAutocompleteFlyoutAppears","tests.Search.VerifyAutocompleteFlyoutAppears","verifyAutocompleteFlyoutAppears","Verify autocomplete flyout appears","Verify autocomplete flyout appears"
"failed","Wed Jun 07 15:41:10 GMT 2023","Wed Jun 07 15:41:17 GMT 2023","6376","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductImageIsDisplayed","tests.Ordering.Order_Confirmation.VerifyProductImageIsDisplayed","verifyProductImageIsDisplayed","Verify product image is displayed","Verify product image is displayed"
"failed","Wed Jun 07 15:40:27 GMT 2023","Wed Jun 07 15:40:33 GMT 2023","6348","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductPrice","tests.Ordering.Cart.VerifyAddedToCartProductPrice","verifyAddedToCartProductPrice","Verify added to cart product price","Verify added to cart product price"
"failed","Wed Jun 07 15:36:01 GMT 2023","Wed Jun 07 15:36:07 GMT 2023","6381","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifyAddToCartButtonRedirectsToOrderConfirmationPage","tests.Ordering.Order_Details.VerifyAddToCartButtonRedirectsToOrderConfirmationPage","verifyAddToCartButtonRedirectsToOrderConfirmationPage","Verify Add to Cart button redirects to Product Confirmation Page","Verify Add to Cart button redirects to Product Confirmation Page"
"failed","Wed Jun 07 15:35:18 GMT 2023","Wed Jun 07 15:35:24 GMT 2023","6382","IDP Project Tests","Smoke Tests","tests.Ordering.Home_Page.VerifyProductAppearsInPickupWhereYouLeftSection","tests.Ordering.Home_Page.VerifyProductAppearsInPickupWhereYouLeftSection","verifyProductAppearsInPickupWhereYouLeftSection","Verify product appears in pick up where you left section","Verify product appears in pick up where you left section"
"failed","Wed Jun 07 15:36:38 GMT 2023","Wed Jun 07 15:36:44 GMT 2023","6400","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyCartButtonRedirectsToCartPage","tests.Ordering.Cart.VerifyCartButtonRedirectsToCartPage","verifyCartButtonRedirectsToCartPage","Verify Cart button redirects to Cart page","Verify Cart button redirects to Cart page"
"failed","Wed Jun 07 15:39:22 GMT 2023","Wed Jun 07 15:39:28 GMT 2023","6382","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyGoToCartButtonRedirectsToCartPage","tests.Ordering.Order_Confirmation.VerifyGoToCartButtonRedirectsToCartPage","verifyGoToCartButtonRedirectsToCartPage","Verify Go to Cart button redirects to cart page","Verify Go to Cart button redirects to cart page"
"failed","Wed Jun 07 15:35:39 GMT 2023","Wed Jun 07 15:35:46 GMT 2023","6418","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProceedToCheckoutButtonRedirectsToProductCheckoutPage","tests.Ordering.Order_Confirmation.VerifyProceedToCheckoutButtonRedirectsToProductCheckoutPage","verifyProceedToCheckoutButtonRedirectsToProductCheckoutPage","Verify Proceed to Checkout button redirects to Product Checkout page","Verify Proceed to Checkout button redirects to Product Checkout page"
"failed","Wed Jun 07 15:40:05 GMT 2023","Wed Jun 07 15:40:12 GMT 2023","6367","IDP Project Tests","Smoke Tests","tests.Search.VerifySearchForItem","tests.Search.VerifySearchForItem","verifySearchForItem","Search for item","Search for item"
"failed","Wed Jun 07 15:44:26 GMT 2023","Wed Jun 07 15:44:32 GMT 2023","6411","IDP Project Tests","Smoke Tests","tests.Search.VerifyUpdatingSearchDropdownByFilter","tests.Search.VerifyUpdatingSearchDropdownByFilter","VerifyUpdatingSearchDropdownByFilter","Verify updating search dropdown by filter","Verify updating search dropdown by filter"
"failed","Wed Jun 07 15:38:04 GMT 2023","Wed Jun 07 15:38:11 GMT 2023","6358","IDP Project Tests","Smoke Tests","tests.Search.VerifySearchResultItemsContainSearchValue","tests.Search.VerifySearchResultItemsContainSearchValue","verifySearchResultItemsContainSearchValue","Verify search result contain search value","Verify search result contain search value"
"failed","Wed Jun 07 15:44:05 GMT 2023","Wed Jun 07 15:44:11 GMT 2023","6354","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutSubtotalPrice","tests.Ordering.Cart_Flyout.VerifyCartFlyoutSubtotalPrice","verifyCartFlyoutSubtotalPrice","Verify cart flyout subtotal price","Verify cart flyout subtotal price"
"failed","Wed Jun 07 15:33:58 GMT 2023","Wed Jun 07 15:34:04 GMT 2023","6253","IDP Project Tests","Smoke Tests","tests.Navigation.VerifyTopRatedProductsOnItemsListPageContainCategoryTitle","tests.Navigation.VerifyTopRatedProductsOnItemsListPageContainCategoryTitle","VerifyTopRatedProductsOnItemsListPageContainCategoryTitle","Verify top rated products on items list page contain category title","Verify top rated products on items list page contain category title"
"failed","Wed Jun 07 15:34:56 GMT 2023","Wed Jun 07 15:35:02 GMT 2023","6374","IDP Project Tests","Smoke Tests","tests.Ordering.Checkout.VerifyAddingNewShippingAddressOnCheckout","tests.Ordering.Checkout.VerifyAddingNewShippingAddressOnCheckout","VerifyAddingNewShippingAddressOnCheckout","Verify adding a new shipping address on checkout","Verify adding a new shipping address on checkout"
"failed","Wed Jun 07 15:43:00 GMT 2023","Wed Jun 07 15:43:06 GMT 2023","6369","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductSuccessMessageIsDisplayed","tests.Ordering.Order_Confirmation.VerifyProductSuccessMessageIsDisplayed","verifyProductSuccessMessageIsDisplayed","Verify product success message is displayed","Verify product success message is displayed"
"failed","Wed Jun 07 15:42:38 GMT 2023","Wed Jun 07 15:42:44 GMT 2023","6373","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductPrice","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductPrice","verifyCartFlyoutProductPrice","Verify cart flyout product price","Verify cart flyout product price"
"failed","Wed Jun 07 15:36:59 GMT 2023","Wed Jun 07 15:37:06 GMT 2023","6381","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductLinkRedirectsToProductDetailsPage","tests.Ordering.Cart_Flyout.VerifyCartFlyoutProductLinkRedirectsToProductDetailsPage","verifyCartFlyoutProductLinkRedirectsToProductDetailsPage","Verify cart flyout product link redirects to Product Details Page","Verify cart flyout product link redirects to Product Details Page"
"failed","Wed Jun 07 15:37:21 GMT 2023","Wed Jun 07 15:37:28 GMT 2023","6390","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductSubtotalPrice","tests.Ordering.Order_Confirmation.VerifyProductSubtotalPrice","verifyProductSubtotalPrice","Verify product subtotal price","Verify product subtotal price"
