"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 03 17:21:44 GMT 2023","Sat Jun 03 17:22:01 GMT 2023","17708","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductSubtotalPrice","tests.Ordering.Order_Confirmation.VerifyProductSubtotalPrice","verifyProductSubtotalPrice","Verify product subtotal price","Verify product subtotal price"
"passed","Sat Jun 03 17:24:39 GMT 2023","Sat Jun 03 17:24:44 GMT 2023","4225","IDP Project Tests","Smoke Tests","tests.Search.VerifySearchForItem","tests.Search.VerifySearchForItem","verifySearchForItem","Search for item","Search for item"
"passed","Sat Jun 03 17:24:05 GMT 2023","Sat Jun 03 17:24:22 GMT 2023","16945","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyGoToCartButtonRedirectsToCartPage","tests.Ordering.Order_Confirmation.VerifyGoToCartButtonRedirectsToCartPage","verifyGoToCartButtonRedirectsToCartPage","Verify Go to Cart button redirects to cart page","Verify Go to Cart button redirects to cart page"
"failed","Sat Jun 03 17:19:23 GMT 2023","Sat Jun 03 17:19:32 GMT 2023","8756","IDP Project Tests","Smoke Tests","tests.Ordering.Home_Page.VerifyProductAppearsInPickupWhereYouLeftSection","tests.Ordering.Home_Page.VerifyProductAppearsInPickupWhereYouLeftSection","verifyProductAppearsInPickupWhereYouLeftSection","Verify product appears in pick up where you left section","Verify product appears in pick up where you left section"
"passed","Sat Jun 03 17:24:47 GMT 2023","Sat Jun 03 17:25:02 GMT 2023","14877","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductPrice","tests.Ordering.Cart.VerifyAddedToCartProductPrice","verifyAddedToCartProductPrice","Verify added to cart product price","Verify added to cart product price"
"failed","Sat Jun 03 17:27:14 GMT 2023","Sat Jun 03 17:27:39 GMT 2023","24464","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyProceedToCheckoutButtonRedirectsToCheckoutPage","tests.Ordering.Cart.VerifyProceedToCheckoutButtonRedirectsToCheckoutPage","verifyProceedToCheckoutButtonRedirectsToCheckoutPage","Verify Proceed to Checkout button redirects to Checkout page","Verify Proceed to Checkout button redirects to Checkout page"
"failed","Sat Jun 03 17:23:17 GMT 2023","Sat Jun 03 17:23:40 GMT 2023","23013","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyAddedToCartProductsSubtotal","tests.Ordering.Cart.VerifyAddedToCartProductsSubtotal","verifyAddedToCartProductsSubtotal","Verify added to cart products subtotal","Verify added to cart products subtotal"
"passed","Sat Jun 03 17:28:58 GMT 2023","Sat Jun 03 17:29:14 GMT 2023","15334","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutSubtotalPrice","tests.Ordering.Cart_Flyout.VerifyCartFlyoutSubtotalPrice","verifyCartFlyoutSubtotalPrice","Verify cart flyout subtotal price","Verify cart flyout subtotal price"
"passed","Sat Jun 03 17:23:43 GMT 2023","Sat Jun 03 17:24:02 GMT 2023","18365","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutGoToCartButtonRedirectsToCartPage","tests.Ordering.Cart_Flyout.VerifyCartFlyoutGoToCartButtonRedirectsToCartPage","verifyCartFlyoutGoToCartButtonRedirectsToCartPage","Verify cart flyout Go to Cart button redirects to Cart Page","Verify cart flyout Go to Cart button redirects to Cart Page"
"passed","Sat Jun 03 17:26:11 GMT 2023","Sat Jun 03 17:26:18 GMT 2023","6943","IDP Project Tests","Smoke Tests","tests.Search.VerifyPreviousSearchIsDisplayedAsSuggestion","tests.Search.VerifyPreviousSearchIsDisplayedAsSuggestion","verifyPreviousSearchIsDisplayedAsSuggestion","Verify previous search is displayed as suggestion","Verify previous search is displayed as suggestion"
"failed","Sat Jun 03 17:20:25 GMT 2023","Sat Jun 03 17:20:46 GMT 2023","20935","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProceedToCheckoutButtonRedirectsToProductCheckoutPage","tests.Ordering.Order_Confirmation.VerifyProceedToCheckoutButtonRedirectsToProductCheckoutPage","verifyProceedToCheckoutButtonRedirectsToProductCheckoutPage","Verify Proceed to Checkout button redirects to Product Checkout page","Verify Proceed to Checkout button redirects to Product Checkout page"
"passed","Sat Jun 03 17:24:25 GMT 2023","Sat Jun 03 17:24:36 GMT 2023","11070","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductPrice","tests.Ordering.Order_Details.VerifySelectedProductPrice","verifySelectedProductPrice","Verify selected product price","Verify selected product price"
"passed","Sat Jun 03 17:20:49 GMT 2023","Sat Jun 03 17:21:05 GMT 2023","15695","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifyAddToCartButtonRedirectsToOrderConfirmationPage","tests.Ordering.Order_Details.VerifyAddToCartButtonRedirectsToOrderConfirmationPage","verifyAddToCartButtonRedirectsToOrderConfirmationPage","Verify Add to Cart button redirects to Product Confirmation Page","Verify Add to Cart button redirects to Product Confirmation Page"
"failed","Sat Jun 03 17:18:52 GMT 2023","Sat Jun 03 17:19:01 GMT 2023","9128","IDP Project Tests","Smoke Tests","tests.Ordering.Checkout.VerifyAddingNewShippingAddressOnCheckout","tests.Ordering.Checkout.VerifyAddingNewShippingAddressOnCheckout","VerifyAddingNewShippingAddressOnCheckout","Verify adding a new shipping address on checkout","Verify adding a new shipping address on checkout"
"passed","Sat Jun 03 17:22:04 GMT 2023","Sat Jun 03 17:22:13 GMT 2023","8913","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Details.VerifySelectedProductTitle","tests.Ordering.Order_Details.VerifySelectedProductTitle","verifySelectedProductTitle","Verify selected product title","Verify selected product title"
"failed","Sat Jun 03 17:17:21 GMT 2023","Sat Jun 03 17:17:27 GMT 2023","6724","IDP Project Tests","Smoke Tests","tests.Navigation.VerifyTopRatedProductsOnItemsListPageContainCategoryTitle","tests.Navigation.VerifyTopRatedProductsOnItemsListPageContainCategoryTitle","VerifyTopRatedProductsOnItemsListPageContainCategoryTitle","Verify top rated products on items list page contain category title","Verify top rated products on items list page contain category title"
"passed","Sat Jun 03 17:21:08 GMT 2023","Sat Jun 03 17:21:11 GMT 2023","3540","IDP Project Tests","Smoke Tests","tests.Search.VerifySelectionOfAutocompleteSuggestion","tests.Search.VerifySelectionOfAutocompleteSuggestion","verifySelectionOfAutocompleteSuggestion","Verify selection of autocomplete suggestion","Verify selection of autocomplete suggestion"
"passed","Sat Jun 03 17:29:27 GMT 2023","Sat Jun 03 17:29:28 GMT 2023","1434","IDP Project Tests","Smoke Tests","tests.Search.VerifyAutocompleteSuggestionsIncludeSearchValue","tests.Search.VerifyAutocompleteSuggestionsIncludeSearchValue","VerifyAutocompleteSuggestionsIncludeSearchValue","Verify autocomplete suggestions include search value","Verify autocomplete suggestions include search value"
"passed","Sat Jun 03 17:28:18 GMT 2023","Sat Jun 03 17:28:19 GMT 2023","757","IDP Project Tests","Smoke Tests","tests.Search.VerifyAutocompleteFlyoutAppears","tests.Search.VerifyAutocompleteFlyoutAppears","verifyAutocompleteFlyoutAppears","Verify autocomplete flyout appears","Verify autocomplete flyout appears"
"passed","Sat Jun 03 17:17:51 GMT 2023","Sat Jun 03 17:18:04 GMT 2023","13236","IDP Project Tests","Smoke Tests","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDeleteButtonRemovesProduct","tests.Ordering.Cart_Flyout.VerifyCartFlyoutDeleteButtonRemovesProduct","verifyCartFlyoutDeleteButtonRemovesProduct","Verify cart flyout delete button removes product","Verify cart flyout delete button removes product"
"passed","Sat Jun 03 17:28:01 GMT 2023","Sat Jun 03 17:28:15 GMT 2023","14695","IDP Project Tests","Smoke Tests","tests.Ordering.Order_Confirmation.VerifyProductSuccessMessageIsDisplayed","tests.Ordering.Order_Confirmation.VerifyProductSuccessMessageIsDisplayed","verifyProductSuccessMessageIsDisplayed","Verify product success message is displayed","Verify product success message is displayed"
"passed","Sat Jun 03 17:21:15 GMT 2023","Sat Jun 03 17:21:17 GMT 2023","1933","IDP Project Tests","Smoke Tests","tests.Ordering.Cart.VerifyCartButtonRedirectsToCartPage","tests.Ordering.Cart.VerifyCartButtonRedirectsToCartPage","verifyCartButtonRedirectsToCartPage","Verify Cart button redirects to Cart page","Verify Cart button redirects to Cart page"
